Chinese,Pinyin,English,Russian
关上,guān shàng,close;shut to; turn off,закрыть;закрыть для; выключить
贵,guì,noble,Нобл
国,guó,country; state; nation,страна; штат; нация
国家,guójiā,Country,Страна
国外,guó wài,foreign; oversea; abroad,иностранный; за рубежом; за границей
过,guò,pass,Пройдено
还,hái,also; still; yet,также; все еще; все же
还是,háishi,still,до сих пор
孩子,háizi,Children,Дети
汉语,hànyǔ,Chinese,китайский
汉字,hàn zì,Chinese character,Китайские символы
好吃,hǎochī,Yummy,ты любишь сыр
好看,hǎo kàn,good looking,good looking
好听,hǎo tīng,pleasant to hear,приятно слышать
好玩儿,hǎo wánr,fun; interesting,весело; интересно
号,hào,Number/date,Номер / Дата
喝,hē,drink,напиток
和,hé,and,и
很,hěn,very,очень
后,hòu,back; behind; after; later,назад; сзади; после; позже
后边,hòu biān,behind; back,сзади; сзади
后天,hòu tiān,day after tomorrow,послезавтра
话,huà,word; words,слово; слова
坏,huài,bad,плохой
还,huán,return; pay back,возврат; окупаемость
回答,huídá,Answer,Ответ
回到,huí dào,back to,вернуться к
回家,huí jiā,go home; return home,идти домой; вернуться домой
回来,huí lái,come back; return,вернуться; вернуться
回去,huí qù,go back,вернуться
机场,jīchǎng,Airport,Аэропорт
机票,jī piào,air ticket,АВИАБИЛЕТ
鸡蛋,jīdàn,Egg,Яйцо
几,jǐ,several,несколько случаев
记,jì,remember,помнить
记得,jìdé,remember,помнить
记住,jì zhù,remember; keep in mind,помните; имейте в виду
家,jiā,home,главная
家里,jiā lǐ,In the home,в зависимости от географического положения
家人,jiā rén,family,Семья
间,jiān,between; measure word for rooms,между; измерить слово для комнат
见,jiàn,see; meet,см.; встреча
见面,jiànmiàn,meet,встречать 
教,jiāo,teach,обучать
教学楼,jiào xué lóu,teaching building,учебный корпус
姐姐,jiě jie,elder sister,Старшая сестра
姐,jiě,elder sister,Старшая сестра
介绍,jièshào,introduce,использовать
今年,jīn nián,this year,этот год
今天,jīntiān,Today,Сегодня
进,jìn,enter,ввод
进来,jìn lái,come in,come in
进去,jìn qù,go in,вступить
九,jiǔ,Nine,Девять
就,jiù,as soon as; right away; then,как только; сразу; затем
觉得,juéde,Think,Подумай
开,kāi,open,разомкнуто
开车,kāi chē,drive; drive a car,водить; водить машину
开会,kāi huì,have a meeting,У нас собрание
开玩笑,kāiwánxiào,Make fun of,Посмеяться над
看,kàn,see,видеть
看病,kàn bìng,see a doctor,Посетите гинеколога
看到,kàn dào,see,видеть
看见,kànjiàn,seeing,FOTOTRANSDUKTSIIA
考,kǎo,test; examine,тест; осмотреть
考试,kǎoshì,Examination,Рассмотрение
渴,kě,thirsty,испытывающий жажду 
课,kè,course,курс
课本,kè běn,textbook,UCHEBNIKI
课文,kè wén,text,текст
块,kuài,block,блок
快,kuài,fast,быстрыми
来,lái,come,приходить
来到,lái dào,come; arrive,приезжайте; приезжайте
老人,lǎo rén,old people; the aged,старики; престарелые
老师,lǎoshī,Teacher,Эксперт
了,le,past tense marker,маркер прошедшего времени
累,lèi,tired,уставший
冷,lěng,cold,простуда
里,lǐ,in,в
里边,lǐ biān,inside,внутри
六,liù,Six,Шесть
楼,lóu,floor,этажа
楼上,lóu shàng,upstairs,наверху (лестницы)
楼下,lóu xià,downstairs,внизу
路,lù,road,дорога
路上,lù shàng,on the road,на дороге
妈妈,mā ma,mā  mom; mother,mā  mom; mother
妈,,mā  mom; mother,mā  mom; mother
马路,mǎ lù,road; street,дорога; улица
马上,mǎshàng,Right off,- ВЫПРЯМИТЕЛЬНОЕ УСТРОЙСТВО СПРАВА ОТКЛЮЧЕНО
吗,ma,auxiliary word,вспомогательное слово
买,mǎi,buy,покупка
慢,màn,slow,медленный
忙,máng,busy,занятой
没,méi,no,Нет
没关系,méiguānxi,No problem,Успешно
没什么,méi shén me,It's nothing,"Да так, ничего"
没事儿,méi shìr,It's okay,Всё в порядке.
妹妹,mèi mei,mèi  younger sister,Младшая сестра
妹,,mèi  younger sister,Младшая сестра
门,mén,door,дверь
门票,mén piào,tickets,тикеты
米饭,mǐfàn,Steamed Rice,Паровой рис
面包,miànbāo,Bread,Хлеб
面条儿,miàn tiáor,noodles,лапша
名字,míngzi,Name,Имя и фамилия
明白,míngbai,clear,ясно
明年,míng nián,next year,next year
明天,míngtiān,Tomorrow,Завтра
拿,ná,take,взять
哪,nǎ,which,какой/который
哪里,nǎ lǐ,where,где:
哪儿,nǎr,where,где:
哪些,nǎ xiē,which,какой/который
那边,nà biān,there,там
那里,nà lǐ,there,там
那儿,nàr,there,там
那些,nà xiē,those,те
奶,nǎi,milk,молоко
奶奶,nǎinai,grandma,бабушка
男,nán,Man,Мужчина
男孩儿,nán háir,boy,мальчик
男人,nán ren,man,мужчина
男生,nán shēng,boy,мальчик
南,nán,south,юг
南边,nán biān,south; south side,юг; южная сторона
难,nán,"hard, difficult","твердый, трудный"
呢,ne,auxiliary word,вспомогательное слово
能,néng,can,ХХХ
你,nǐ,you,вы
你们,nǐ men,you,вы
年,nián,year,год
您,nín,you,вы
牛奶,niúnǎi,milk,молоко
旁边,pángbiān,Side,Сторона
跑,pǎo,run,бегу
朋友,péngyou,Friend,Друг
票,piào,ticket,билет
七,qī,Seven,Семь
起,qǐ,get up; start; rise,встать; начать; подняться
起床,qǐchuáng,Get up,Поднимайся
起来,qǐlái,get up,встать
汽车,qì chē,car,кабина
前,qián,front,лицевая сторона
前边,qián biān,in front,перед
前天,qián tiān,the day before yesterday,the day before yesterday
钱,qián,money,деньги
钱包,qián bāo,wallet,кошелек
请,qǐng,please,пожалуйста
请假,qǐngjià,ask for leave,Запрос отпуска
请进,qǐng jìn,please come in,"Пожалуйста, проходите"
请问,qǐng wèn,excuse me,извините меня
请坐,qǐng zuò,please have a seat,"Пожалуйста, присаживайтесь"
球,qiú,ball,мяч
去,qù,go,попытка
去年,qùnián,Last year,Прошлый год
热,rè,heat,нагрев
人,rén,people,люди 
认识,rènshi,know,знать
认真,rènzhēn,earnest,всерьез
日,rì,date,Дата:
日期,rìqī,Date,Дата
肉,ròu,meat,мясо
三,sān,Three,Три
山,shān,mountain,гора
商场,shāng chǎng,mall; shopping mall,торговый центр; торговый центр
商店,shāngdiàn,Shop,Магазин
上,shàng,upper,верхний
上班,shàngbān,go to work,Иди работать
上边,shàng biān,above; on,выше; вкл.
上车,shàng chē,get on,Ладить
上次,shàng cì,last time,Прошлое
上课,shàng kè,attend class; have a class,посещать занятия; посещать занятия
上网,shàngwǎng,Surf the Internet,и безопасным.
上午,shàngwǔ,morning,утро
上学,shàng xué,go to school,Иди в школу.
少,shǎo,less,меньше
谁,shéi,who,кто
身上,shēn shàng,body; on one's body,тело; на теле
身体,shēntǐ,body,фюзеляж
什么,shénme,What,Что
生病,shēngbìng,Fall ill,Заболеть
生气,shēngqì,get angry,Разозлитесь
生日,shēngrì,Birthday,"дня рождения,"
十,shí,Ten,Десять
时候,shíhou,time,время
时间,shíjiān,time,время
事,shì,thing,вещь
试,shì,try,пробовать
是,shì,yes,да
是不是,shì bú shì,isn't it?,Не так ли?
书,shū,book,книга
书包,shū bāo,school bag,school bag
书店,shū diàn,bookstore,книжный магазин
树,shù,tree,дерево
水,shuǐ,water,воды
睡,shuì,sleep,спать
睡觉,shuìjiào,sleep,спать
说,shuō,speak,говорю
说话,shuōhuà,talk,разговаривать
四,sì,Four,Четыре
送,sòng,give,дай
岁,suì,"year, age",Год
他,tā,he,он
他们,tā men,they,они
她,tā,she,она
她们,tā men,they,они
太,tài,too,","
天,tiān,day,день
天气,tiānqì,weather,метео
听,tīng,hear,слышать
听到,tīng dào,hear,слышать
听见,tīng jiàn,hear,слышать
听写,tīng xiě,dictation; dictate,диктовка; диктовка
同学,tóngxué,Classmate,Одноклассники
图书馆,túshūguǎn,Library,Библиотека
外,wài,"abroad, outside","за рубежом, за пределами"
外边,wài biān,outside,извне
外国,wài guó,foreign country,Зарубежная страна
外语,wài yǔ,foreign language,ИНОСТРАННЫЙ ЯЗЫК
玩儿,wánr,play,пьеса
晚,wǎn,late,позже
晚饭,wǎn fàn,dinner,ужин
晚上,wǎnshang,Night,Ночь
网上,wǎng shàng,online,в сети
忘,wàng,forget,забыть
忘记,wàngjì,forget,забыть
问,wèn,ask,спрашивают
五,wǔ,Five,Проходит
午饭,wǔ fàn,lunch,обед
西,xī,west,"Запад,"
西边,xī biān,west; west side,запад; западная сторона
洗,xǐ,wash,мыть/стирать
喜欢,xǐhuan,like,такие как
下班,xià bān,get off work,Работайте меньше!
下边,xià biān,below; under,ниже; под
下车,xià chē,get off,Слезть
下次,xià cì,next time,В следующий раз
下课,xià kè,finish class,финишный урок
下午,xiàwǔ,Afternoon,День
下雨,xiàyǔ,rain,дождь
先,xiān,before,до
先生,xiānsheng,Sir,Господин
现在,xiànzài,Now,Сейчас
想,xiǎng,think,думать
小,xiǎo,Small,Малое
小孩儿,xiǎo háir,child; kid,ребенок; малыш
小姐,xiǎojiě,Miss,Госпожа
小时,xiǎoshí,hour,час
小学,xiǎo xué,primary school; elementary schoo,начальная школа; начальная школа
小学生,xiǎo xué,shēng  elementary school student,ученик  начальной школы Шэн
笑,xiào,laugh,ахаха
写,xiě,write,писать
谢谢,xièxie,Thank you,Спасибо!
新,xīn,new,новые
新年,xīn nián,New Year,Новый год
星期,xīngqī,week,неделя
星期日,xīng qī rì,Sunday,Воскресенье
星期天,xīng qī tiān,Sunday,Воскресенье
行,xíng,That's ok,Ничего страшного
休息,xiūxi,Rest,Отдых
学,xué,learn; study,учиться; учиться
学生,xuésheng,Student,Студент
学习,xuéxí,Study,исследование
学校,xuéxiào,School,Школа
学院,xué yuàn,college; academy,колледж; академия
爷爷,yéye,grandpa,дедушка
也,yě,also,также и
页,yè,page,Стр.
一,yī,One,Один
衣服,yīfu,clothes,одежда
医生,yīshēng,Doctor,Доктор
医院,yīyuàn,Hospital,Больница
一半,yí bàn,half,половина
一会儿,yíhuìr,A little while,Совсем немного
一块儿,yí kuàir,together,вместе
一下儿,yí xiàr,a little bit,Совсем немного
一样,yíyàng,equally,одинаково
一边,yìbiān,One side,одной стороне и
一点儿,yīdiǎnr,a little bit,Совсем немного
一起,yìqǐ,together,вместе
一些,yì xiē,some,некоторые
用,yòng,use,использования
右,yòu,right,правый
右边,yòubian,Right,Правый
雨,yǔ,rain,дождь
元,yuán,element; Yuan,элемент; Юань
远,yuǎn,far,далеко
月,yuè,month,месяц
再,zài,again,снова
再见,zàijiàn,Bye,Bye
在,zài,stay; in process of,пребывание; в процессе
在家,zài jiā,at home,дома
早,zǎo,early,раньше
早饭,zǎo fàn,breakfast,завтрак
早上,zǎoshang,Morning,Утро
怎么,zěnme,How,Как
找,zhǎo,look for,искать
找到,zhǎo dào,find,найдите
这,zhè,Here (here),Вот возьми
这边,zhè biān,here,здесь —
这里,zhè lǐ,here,здесь —
这儿,zhèr,here,здесь —
这些,zhè xiē,these,эти
着,zhe,in process of,in process of time
真,zhēn,really,действительно
真的,zhēn de,really,действительно
正在,zhèngzài,in process of,in process of time
知道,zhīdào,know,знать
知识,zhīshi,knowledge,знаний
中,zhōng,middle; in,Вход по середине
中国,zhōngguó,China,Китай
中间,zhōngjiān,Middle,Средний
中文,zhōngwén,Chinese,китайский
中午,zhōngwǔ,Noon,Полдень
中学,zhōng xué,middle school,СРЕДНЯЯ ШКОЛА
中学生,zhōng xué,shēng  middle School student,ученик  средней школы Шэн
重,zhòng,heavy,Тяжёлые
重要,zhòngyào,important,важный
住,zhù,live,жить
准备,zhǔnbèi,Get ready,Готовься
桌子,zhuōzi,Table,Таблица
字,zì,"word, character","слово, символ"
最,zuì,most,большинство
最好,zuìhǎo,Best,Лучше
最后,zuìhòu,Last,Последняя
昨天,zuótiān,Yesterday,Вчера
坐,zuò,sit,ХХХ
坐下,zuò xià,sit down,сесть
做,zuò,do,do
